1	12315
1	13192
1	14103
1	14319
1	14355
1	15817
2	4063
2	11447
2	11951
2	14441
2	15304
2	15331
3	15314
3	15353
3	15585
3	15762
3	15772
3	15784
4	11185
4	11555
4	12568
4	13707
4	13739
4	13804
5	11881
5	14776
5	15036
5	15107
5	15176
5	15939
6	1565
6	14118
6	14812
6	14850
6	14883
6	14980
7	6464
7	13648
7	14933
7	14939
7	15001
7	15970
8	10947
8	15256
8	15528
8	15529
8	15532
8	15621
9	3342
9	11841
9	13516
9	14232
9	15005
9	15436
10	1020
10	9323
10	12946
10	13013
10	13466
10	15897
11	6493
11	7045
11	10797
11	11229
11	15397
11	15535
12	4714
12	8682
12	11885
12	12325
12	12531
12	14634
13	1213
13	9203
13	13110
13	15334
13	15643
13	15806
14	3842
14	11667
14	12493
14	13303
14	14022
14	14026
15	17
15	11481
15	13677
15	14069
15	14812
15	14850
16	7108
16	9357
16	10654
16	11900
16	12966
16	15110
17	15
17	13595
17	15438
17	15740
17	15907
17	15974
18	6731
18	12546
18	13692
18	15418
18	15846
18	15911
19	7940
19	9931
19	10771
19	14443
19	15031
19	15845
20	5117
20	11804
20	13747
20	14881
20	15002
20	15580
21	10908
21	12210
21	12492
21	14607
21	14692
21	14743
22	10427
22	14995
22	15365
22	15660
22	15720
22	15818
23	421
23	15362
23	15432
23	15906
23	15970
23	15981
24	13745
24	14942
24	15658
24	15756
24	15925
24	15973
25	1655
25	2645
25	4513
25	6991
25	14881
25	15023
26	12143
26	12201
26	12376
26	13024
26	13447
26	14738
27	7582
27	8380
27	8881
27	15384
27	15535
27	15746
28	9747
28	10968
28	11462
28	11697
28	11886
28	13984
29	14053
29	14941
29	15237
29	15517
29	15823
29	15856
30	1660
30	15354
30	15618
30	15741
30	15914
30	15931
31	4387
31	10247
31	10806
31	15125
31	15340
31	15996
32	10786
32	12314
32	12486
32	12983
32	15441
32	15477
33	11524
33	15284
33	15558
33	15846
33	15896
33	15911
34	8826
34	10309
34	12361
34	13652
34	13950
34	14423
35	9385
35	11077
35	11477
35	11512
35	12573
35	14167
36	12548
36	13273
36	15730
36	15750
36	15847
36	15989
37	13661
37	14064
37	15051
37	15093
37	15393
37	15870
38	1737
38	7078
38	8061
38	9316
38	9833
38	11522
39	11212
39	11404
39	11720
39	13445
39	14883
39	15259
40	14971
40	15150
40	15671
40	15889
40	15939
40	15968
41	14041
41	14379
41	15255
41	15558
41	15846
41	15911
42	858
42	8503
42	13164
42	14407
42	14504
42	15794
43	1248
43	14476
43	15235
43	15502
43	15819
43	15886
44	9995
44	14020
44	15923
44	15935
44	15971
44	15979
45	4820
45	15400
45	15768
45	15791
45	15811
45	15975
46	8801
46	11577
46	12512
46	12567
46	13958
46	15557
47	3015
47	4961
47	5932
47	11932
47	13058
47	14086
48	10335
48	11579
48	11959
48	13808
48	14801
48	15011
49	11801
49	14929
49	15862
49	15887
49	15965
49	15976
50	2408
50	4742
50	14666
50	14729
50	15262
50	15327
51	2988
51	7040
51	14057
51	14217
51	14292
51	14494
52	6256
52	11324
52	12256
52	12589
52	12865
52	13810
53	13290
53	15369
53	15606
53	15656
53	15852
